"site","latitude","longitude","tot_traps","n_Mna","n_Rra","Mna_per_trap","Rra_per_trap","data_source"
"Badala",9.319729409561736,-11.540764070520316,301,0,5,0,0.01661129568106312,"PREEMPT"
"Bafodia",9.683164616679528,-11.733040802401746,837,165,0,0.1971326164874552,0,"PREEMPT"
"Barlie",8.019789811304502,-11.584217435203092,220,2,3,0.00909090909090909,0.01363636363636363,"PREEMPT"
"Benduma",8.025988093218489,-11.5215033551764,316,8,1,0.02531645569620253,0.00316455696202531,"PREEMPT"
"Gbainkfay",9.298792228749834,-12.256579280914396,72,0,9,0,0.125,"PREEMPT"
"Gbenikoro",9.62299969233059,-11.4718678469135,18,0,0,0,0,"PREEMPT"
"Guala",8.124279286783235,-11.235621660915578,276,0,13,0,0.04710144927536232,"PREEMPT"
"Kapethe",8.9862061417923,-11.982410632675997,262,1,7,0.00381679389312977,0.02671755725190839,"PREEMPT"
"Largo",8.051547331161421,-11.103385534172824,486,13,2,0.02674897119341563,0.00411522633744856,"PREEMPT"
"Makump",8.805581045422798,-12.03982493380907,27,0,0,0,0,"PREEMPT"
"Makuna",8.748832258264692,-11.984298413011164,120,0,0,0,0,"PREEMPT"
"Mokorie",8.207852394264012,-12.058048705581529,84,0,9,0,0.10714285714285714,"PREEMPT"
"Naiawama",7.8694422230075105,-11.04104693769143,60,5,2,0.08333333333333333,0.03333333333333333,"PREEMPT"
"Njaguima",8.424344884832752,-11.642931353759266,84,0,1,0,0.0119047619047619,"PREEMPT"
"Petema",7.747475128890135,-11.628258155737251,145,0,3,0,0.02068965517241379,"PREEMPT"
"Talama",8.195003613146277,-11.12266698403304,120,6,0,0.05,0,"PREEMPT"
"Yekeyor",8.576877642939278,-10.878485814424144,156,1,5,0.00641025641025641,0.03205128205128205,"PREEMPT"
"Bamba",10.00055556,-13.885,169,0,20,0,0.11834319526627218,"EFC"
"Bantou",10.054515147679323,-10.578665738396625,1651,243,0,0.14718352513628105,0,"EFC"
"Gagal",11.088055555555556,-12.2975,470,11,0,0.02340425531914893,0,"EFC"
"Gania",10.066557407407409,-12.539639814814814,900,0,28,0,0.03111111111111111,"EFC"
"Gayebombo",10.132314814814816,-13.590833333333334,159,0,0,0,0,"EFC"
"Gbetaya",9.840833333333334,-11.04,275,41,0,0.14909090909090908,0,"EFC"
"Kaali",9.930416666666666,-12.705972222222222,240,0,5,0,0.02083333333333333,"EFC"
"Khoneya",10.14861111111111,-12.675833333333332,321,0,3,0,0.00934579439252336,"EFC"
"Sangassou",8.61361111111111,-9.474166666666669,210,14,0,0.06666666666666667,0,"EFC"
"Tanganya",10.000712298701298,-10.97318917748918,1507,168,0,0.1114797611147976,0,"EFC"
"Yafraya",10.01194444,-13.67888889,102,0,24,0,0.2352941176470588,"EFC"
